EDADHOM,EDADMUJ,DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOMUJ,CIUOHOM,AÑOOCU
33,33,1,101,2,2021,20,12,1,115,4,4,320,320,4,4,110,110,2021
30,31,1,101,4,2021,20,12,1,116,9,4,320,320,4,4,110,110,2021
37,34,1,101,3,2021,26,9,1,101,4,9,320,862,1,9,11,97,2021
27,34,1,101,8,2020,14,3,1,101,4,4,320,320,4,5,12,97,2020
54,47,1,101,8,2020,6,8,1,101,4,4,320,320,3,5,12,97,2020
54,39,1,101,12,2020,29,2,1,101,4,5,320,170,5,5,12,97,2020
29,42,1,115,2,2020,11,1,1,102,4,4,320,320,4,9,12,97,2020
41,38,1,115,12,2020,9,8,1,115,4,4,320,320,4,5,12,97,2020
42,35,3,301,3,2020,7,3,3,301,9,4,840,320,9,5,12,97,2020
28,33,9,914,11,2020,7,11,9,901,4,9,320,320,4,9,12,97,2020
30,30,12,1202,12,2020,27,11,12,1202,5,4,320,320,3,5,12,97,2020
27,25,12,1219,1,2021,19,12,12,1219,4,4,320,320,4,5,12,97,2021
36,34,20,2009,8,2020,22,7,20,2009,5,4,320,320,4,5,12,71,2020
33,26,1,101,3,2021,3,12,1,101,4,9,320,862,4,9,12,52,2021
38,41,1,108,2,2020,11,2,1,108,4,4,320,320,4,5,12,52,2020
46,37,4,401,3,2020,2,3,4,401,4,4,320,320,5,5,12,52,2020
39,33,16,1609,6,2020,29,5,16,1609,4,1,320,320,4,5,12,52,2020
50,40,17,1701,12,2020,15,12,17,1701,4,4,320,320,5,6,12,52,2020
37,42,1,102,3,2021,14,11,1,101,4,4,320,320,4,5,12,43,2021
38,46,1,101,3,2020,24,2,1,101,4,4,320,320,4,5,12,31,2020
30,28,1,106,3,2021,28,11,1,101,4,4,320,320,4,5,12,31,2021
30,32,1,101,12,2020,15,2,1,101,4,4,320,320,4,5,12,33,2020
43,36,1,101,1,2021,1,12,1,101,4,4,320,320,4,5,12,33,2021
39,38,1,113,3,2020,2,3,1,101,4,4,320,188,4,9,12,33,2020
31,27,3,309,12,2020,28,11,3,309,4,4,320,320,4,5,12,31,2020
32,30,3,301,1,2021,6,12,3,301,4,4,320,320,4,5,12,35,2021
63,35,4,401,10,2020,18,10,4,401,4,4,320,320,4,9,12,33,2020
31,26,1,106,3,2021,14,11,1,101,9,9,604,604,5,5,12,21,2021
50,52,1,101,6,2021,29,11,1,101,4,4,320,320,5,5,12,21,2021
43,40,1,101,1,2021,10,12,1,103,4,4,222,320,5,9,12,21,2021
34,39,1,101,9,2020,27,6,1,108,9,4,720,320,9,9,12,21,2020
59,41,1,101,5,2020,9,5,1,108,4,4,320,320,5,5,12,21,2020
38,29,1,101,7,2020,4,7,1,115,4,4,320,320,9,5,12,21,2020
55,45,1,101,7,2020,25,1,1,101,4,4,320,320,5,5,12,24,2020
33,32,1,101,7,2020,15,2,1,101,4,4,320,320,5,5,12,25,2020
44,42,1,101,3,2021,18,1,1,108,4,4,320,320,5,5,12,25,2021
28,29,1,101,2,2021,28,11,1,101,4,4,320,320,5,5,12,26,2021
43,37,5,501,11,2020,21,11,5,501,9,4,320,320,5,5,12,24,2020
31,31,1,101,1,2020,3,1,1,101,4,4,320,320,5,5,12,12,2020
36,37,1,101,12,2020,4,4,7,719,4,4,320,320,5,5,12,12,2020
26,29,1,101,6,2021,13,12,1,102,4,4,320,320,9,5,14,35,2021
34,30,1,101,5,2021,14,11,1,101,4,4,320,320,4,9,21,97,2021
37,38,1,106,2,2021,21,11,1,101,4,4,320,320,4,9,21,97,2021
27,24,1,101,11,2020,15,11,1,101,9,4,76,320,9,5,21,97,2020
50,37,1,101,10,2020,4,7,1,101,4,4,840,320,6,9,21,97,2020
33,32,1,115,3,2020,8,2,1,101,4,4,320,320,4,5,21,97,2020
41,36,1,101,3,2020,22,2,1,101,4,4,840,320,6,5,21,97,2020
35,31,9,916,10,2020,24,10,1,101,4,4,320,320,4,5,21,97,2020
28,33,1,101,6,2021,7,8,1,101,4,4,320,320,4,5,21,97,2021
27,23,1,101,11,2020,3,10,1,101,4,5,320,320,4,9,21,97,2020
33,36,1,106,5,2021,9,5,1,101,4,4,320,320,4,5,21,97,2021
39,32,1,101,1,2021,28,11,1,101,9,4,320,320,5,5,21,97,2021
29,35,1,101,9,2020,24,7,1,101,4,4,320,320,4,5,21,97,2020
30,29,1,101,7,2020,13,6,1,101,4,4,840,320,4,9,21,97,2020
37,39,1,101,12,2020,5,12,1,101,4,4,320,320,4,5,21,97,2020
27,34,1,101,3,2020,8,1,1,101,9,4,840,320,1,5,21,97,2020
31,29,1,101,12,2020,18,7,1,101,9,4,320,320,4,9,21,97,2020
33,32,1,101,3,2021,7,11,1,101,4,4,320,320,4,9,21,97,2021
30,33,1,101,11,2020,6,11,1,101,4,4,320,320,4,9,21,97,2020
44,34,1,101,2,2021,8,1,1,101,4,4,320,320,5,5,21,97,2021
31,46,1,108,2,2021,19,12,1,108,9,4,862,320,1,5,21,97,2021
28,28,1,101,1,2021,11,12,1,108,4,4,320,320,4,9,21,97,2021
32,33,1,115,12,2020,24,10,1,108,4,4,320,320,4,5,21,97,2020
40,32,1,101,12,2020,14,11,1,108,4,4,320,320,4,5,21,97,2020
32,31,1,101,1,2021,5,9,1,108,4,4,320,320,4,9,21,97,2021
34,40,1,101,5,2021,21,11,1,108,4,4,320,320,4,5,21,97,2021
27,31,1,101,11,2020,2,5,1,108,4,4,320,320,4,9,21,97,2020
28,26,2,201,6,2020,7,3,2,201,4,4,320,320,4,5,21,97,2020
35,33,1,101,7,2020,29,2,3,301,9,4,484,320,9,5,21,97,2020
37,31,1,101,2,2021,12,12,3,306,9,4,320,320,4,9,21,97,2021
33,31,1,101,10,2020,26,9,3,308,4,4,320,320,4,5,21,97,2020
25,28,3,309,1,2021,5,12,3,314,4,4,320,320,4,9,21,97,2021
33,31,5,502,11,2020,18,10,5,502,4,4,320,320,3,5,21,97,2020
30,33,1,113,12,2020,5,12,6,609,4,4,320,320,4,5,21,97,2020
30,27,1,101,9,2020,7,3,7,710,4,4,320,320,5,9,21,97,2020
41,42,1,106,11,2020,26,9,7,711,4,4,320,276,4,5,21,97,2020
30,27,9,901,3,2021,18,12,9,901,4,4,320,320,4,5,21,97,2021
34,35,10,1001,1,2020,18,1,10,1001,4,4,320,320,5,5,21,97,2020
25,27,9,901,6,2021,20,6,10,1001,4,4,320,320,5,5,21,97,2021
28,29,12,1202,12,2020,5,12,12,1202,4,9,320,320,5,9,21,97,2020
34,32,13,1301,2,2021,4,12,13,1301,1,1,320,320,5,5,21,97,2021
33,30,13,1301,9,2020,1,8,13,1301,4,4,320,320,4,9,21,97,2020
31,32,20,2001,1,2020,11,1,20,2001,4,4,320,320,5,9,21,97,2020
38,57,6,614,5,2020,24,4,6,614,9,9,320,192,2,9,21,921,2020
42,39,1,101,6,2021,21,3,3,308,4,4,320,320,3,6,21,71,2021
37,30,1,101,12,2020,30,8,1,101,4,4,320,320,5,9,21,51,2020
32,32,1,101,12,2020,17,10,1,101,4,4,320,320,4,9,21,52,2020
30,31,1,101,9,2020,14,6,1,101,4,4,356,320,5,9,21,52,2020
30,31,1,101,10,2020,7,3,1,101,4,4,320,320,4,5,21,52,2020
34,41,1,1202,12,2020,16,11,1,108,4,4,320,320,4,5,21,52,2020
44,35,1,101,8,2020,24,7,1,108,4,4,320,320,4,5,21,52,2020
29,31,1,101,12,2020,28,11,1,114,4,4,320,320,4,5,21,541,2020
29,30,1,101,2,2021,26,9,3,314,4,4,320,320,4,5,21,52,2021
26,30,16,1601,6,2020,29,5,16,1601,4,4,320,320,4,5,21,52,2020
29,25,20,2001,6,2020,15,6,20,2001,4,4,320,320,3,5,21,52,2020
30,31,1,101,4,2020,8,3,1,101,4,4,320,320,4,5,21,43,2020
34,33,1,101,10,2020,15,3,1,117,4,4,320,720,5,9,21,43,2020
28,31,3,309,12,2020,5,12,1,101,4,4,320,320,4,9,21,31,2020
25,26,1,101,11,2020,17,10,1,101,4,4,320,320,4,9,21,31,2020
31,32,1,101,9,2020,7,6,1,101,4,4,320,320,4,9,21,31,2020
30,30,2,207,1,2021,31,12,1,101,4,4,320,320,4,9,21,31,2021
29,32,1,101,1,2021,22,11,1,101,4,4,320,320,4,9,21,31,2021
