EDADHOM,EDADMUJ,DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOMUJ,CIUOHOM,AÑOOCU
23,24,,511,11,2023,6,10,5,511,4,4,320,320,4,2,97,97,2023
25,18,,1609,12,2023,13,12,16,1609,1,1,320,320,2,9,97,97,2023
42,41,,920,3,2023,14,2,9,920,4,4,320,320,2,2,97,921,2023
33,32,,101,10,2023,26,8,1,108,4,4,320,320,4,4,33,97,2023
26,21,,101,1,2023,2,8,1,101,4,4,320,320,3,9,97,97,2023
38,36,,910,3,2023,25,2,9,910,4,1,320,320,3,2,97,72,2023
22,19,,1804,12,2023,9,11,18,1804,4,4,320,320,4,9,97,921,2023
25,23,,2101,12,2023,18,12,21,2101,9,4,320,320,4,4,97,34,2023
29,21,,2101,1,2023,18,1,21,2101,4,4,320,320,4,9,97,541,2023
31,50,,1327,1,2023,22,12,13,1327,1,1,320,320,2,2,97,921,2023
22,20,,1215,7,2023,12,6,12,1215,4,4,320,320,3,9,97,93,2023
44,32,,1223,10,2023,18,10,12,1201,4,4,320,320,1,2,97,921,2023
30,29,,901,5,2023,1,4,9,904,9,4,840,320,9,4,97,71,2023
50,44,,1904,5,2023,28,4,19,1904,4,4,320,320,1,1,97,921,2023
21,19,,2211,3,2023,18,3,22,2211,4,4,320,320,9,9,97,921,2023
48,37,,114,1,2023,15,12,1,114,4,4,320,320,2,3,97,74,2023
31,37,,1221,6,2023,7,6,12,1221,4,4,320,320,2,2,97,921,2023
31,35,,101,4,2023,22,4,6,609,4,4,320,320,5,5,22,21,2023
26,24,,111,9,2023,9,7,1,110,1,9,320,320,3,9,99,921,2023
25,23,,1414,12,2023,22,11,14,1414,1,1,320,320,3,2,97,921,2023
24,20,,1608,10,2023,23,9,16,1608,1,1,320,320,2,9,97,921,2023
32,32,,101,7,2023,18,2,1,101,9,4,320,320,9,5,22,99,2023
27,27,,101,11,2023,26,8,1,101,4,4,320,320,3,4,97,97,2023
21,18,,312,1,2023,9,12,3,312,4,4,320,320,9,9,97,75,2023
41,42,,1101,2,2023,20,1,11,1101,4,4,320,320,4,5,41,97,2023
23,22,,303,3,2023,24,2,3,303,4,9,320,320,4,4,32,97,2023
38,34,,1204,3,2023,24,1,12,1204,1,1,320,320,2,2,97,921,2023
29,23,,606,5,2023,22,4,6,606,4,4,320,320,4,4,97,34,2023
68,62,,110,12,2023,1,12,1,110,4,4,320,320,2,1,97,81,2023
30,25,,502,5,2023,14,5,5,502,4,4,320,320,1,2,52,921,2023
25,21,,1212,3,2023,28,3,12,1212,4,4,320,320,2,9,97,921,2023
75,79,,501,12,2023,11,8,5,501,5,4,320,320,3,1,97,921,2023
25,23,,1701,12,2023,16,12,17,1701,4,4,320,320,4,4,97,97,2023
49,31,,1317,1,2023,27,1,13,1317,1,1,320,320,2,2,97,52,2023
26,25,,804,12,2023,10,12,8,804,1,1,320,320,4,4,32,97,2023
76,77,,1323,2,2023,27,1,13,1323,1,1,320,320,1,1,99,99,2023
19,20,,401,6,2023,10,5,4,401,9,9,320,320,9,9,97,921,2023
29,21,,1401,11,2023,24,10,14,1401,1,1,320,320,2,9,97,52,2023
42,36,,404,12,2023,26,11,4,404,1,1,320,320,4,4,23,43,2023
20,18,,920,5,2023,29,4,9,920,4,4,320,320,9,9,97,72,2023
28,27,,1702,1,2023,30,12,5,1702,4,4,320,320,3,3,97,72,2023
22,31,,401,8,2023,5,8,4,415,5,4,320,320,2,2,97,71,2023
21,25,,718,12,2023,9,12,7,718,1,9,320,320,9,4,97,97,2023
27,23,,1420,9,2023,4,9,14,1420,1,1,320,320,2,2,97,921,2023
56,45,,501,12,2023,1,12,5,501,4,4,320,320,2,4,97,97,2023
29,29,,101,8,2023,22,7,1,117,4,4,320,320,4,1,99,97,2023
49,61,,917,8,2023,18,3,9,920,4,4,320,320,1,1,97,921,2023
21,19,,1420,6,2023,27,5,14,1420,1,1,320,320,9,9,97,921,2023
25,24,,701,2,2023,10,2,7,708,1,1,320,320,4,3,97,97,2023
29,22,,504,12,2023,15,12,5,504,1,9,320,320,5,4,97,97,2023
26,24,,1230,8,2023,27,7,12,1230,4,4,320,320,4,2,97,97,2023
50,35,,1801,8,2023,4,8,18,1801,4,4,320,320,3,4,97,51,2023
22,24,,920,3,2023,18,2,9,920,4,4,320,320,4,4,97,97,2023
26,30,,1601,4,2023,21,11,16,1601,9,4,840,320,9,5,97,11,2023
33,29,,1229,12,2023,29,11,10,1229,1,4,320,320,4,3,97,541,2023
55,55,,1508,11,2023,2,11,15,1508,1,1,320,320,1,1,97,921,2023
23,22,,401,9,2023,22,9,4,401,9,1,320,320,2,2,97,83,2023
48,44,,101,12,2023,26,10,1,101,4,4,320,320,4,4,43,43,2023
21,19,,918,10,2023,27,9,9,918,1,1,320,320,9,9,97,921,2023
